chapter,figure_file,maple_script,script_relpath_in_creators,model,plot_type,confidence,caption
phenomenon,phenomenon_lorenz_xt_series,phenomenon_lorenz.mw,phenomenon/phenomenon_lorenz.mw,Lorenz system,time series,high,Time series x(t) of the Lorenz system eq:phenomenon_lorenz.
phenomenon,phenomenon_lorenz_xt_two_series_em3,phenomenon_lorenz.mw,phenomenon/phenomenon_lorenz.mw,Lorenz system,time series,high,"Sensitive dependence on initial conditions in the Lorenz-system. Two time-series with slightly differing initial conditions in x: x(0)=2 and x(0)=2+, respectively. In all cases y(0)=5,z(0)=5."
phenomenon,phenomenon_lorenz_xt_two_series_em5,phenomenon_lorenz.mw,phenomenon/phenomenon_lorenz.mw,Lorenz system,time series,high,"Sensitive dependence on initial conditions in the Lorenz-system. Two time-series with slightly differing initial conditions in x: x(0)=2 and x(0)=2+, respectively. In all cases y(0)=5,z(0)=5."
phenomenon,phenomenon_lorenz_phasespace_close,phenomenon_lorenz.mw,phenomenon/phenomenon_lorenz.mw,Lorenz system,phase portrait,high,Trajectories in phase-space.
phenomenon,phenomenon_lorenz_phasespace_far,phenomenon_lorenz.mw,phenomenon/phenomenon_lorenz.mw,Lorenz system,phase portrait,high,Trajectories in phase-space.
phenomenon,3body,(no maple script - xfig/manual schematic),,three-body / restricted problem,,n/a,Three-body problem.
phenomenon,phenomenon_3body_example1a,phenomenon_3body_examples.mw,phenomenon/phenomenon_3body_examples.mw,three-body / restricted problem,,high,Some examples of possible trajectories in the three-body problem for different initial conditions. In all cases y(0) = u(0) = v(0) = 0; x(0) is being varied. The integration time is two months. Left row: Trajectories of 
phenomenon,phenomenon_3body_example1b,phenomenon_3body_examples.mw,phenomenon/phenomenon_3body_examples.mw,three-body / restricted problem,,high,Some examples of possible trajectories in the three-body problem for different initial conditions. In all cases y(0) = u(0) = v(0) = 0; x(0) is being varied. The integration time is two months. Left row: Trajectories of 
phenomenon,phenomenon_3body_example2a,phenomenon_3body_examples.mw,phenomenon/phenomenon_3body_examples.mw,three-body / restricted problem,,high,Some examples of possible trajectories in the three-body problem for different initial conditions. In all cases y(0) = u(0) = v(0) = 0; x(0) is being varied. The integration time is two months. Left row: Trajectories of 
phenomenon,phenomenon_3body_example2b,phenomenon_3body_examples.mw,phenomenon/phenomenon_3body_examples.mw,three-body / restricted problem,,high,Some examples of possible trajectories in the three-body problem for different initial conditions. In all cases y(0) = u(0) = v(0) = 0; x(0) is being varied. The integration time is two months. Left row: Trajectories of 
phenomenon,phenomenon_3body_example3a,phenomenon_3body_examples.mw,phenomenon/phenomenon_3body_examples.mw,three-body / restricted problem,,high,Some examples of possible trajectories in the three-body problem for different initial conditions. In all cases y(0) = u(0) = v(0) = 0; x(0) is being varied. The integration time is two months. Left row: Trajectories of 
phenomenon,phenomenon_3body_example3b,phenomenon_3body_examples.mw,phenomenon/phenomenon_3body_examples.mw,three-body / restricted problem,,high,Some examples of possible trajectories in the three-body problem for different initial conditions. In all cases y(0) = u(0) = v(0) = 0; x(0) is being varied. The integration time is two months. Left row: Trajectories of 
phenomenon,phenomenon_3body_example_sensitivity,phenomenon_3body_examples.mw,phenomenon/phenomenon_3body_examples.mw,three-body / restricted problem,,high,Sensitivity on initial conditions: two trajectories initiated from slightly different positions with a relative difference in x(0) of 10^-4. Integration time is two months. Diamond: initial locations. Circles: end positi
phenomenon,phenomenon_3body_example_sensitivity_corot,phenomenon_3body_examples.mw,phenomenon/phenomenon_3body_examples.mw,three-body / restricted problem,,high,Sensitivity on initial conditions: two trajectories initiated from slightly different positions with a relative difference in x(0) of 10^-4. Integration time is two months. Diamond: initial locations. Circles: end positi
disc1d,disc1d_logist_series_r1_5,disc1d_logist_series.mws,disc1d/disc1d_logist_series.mws,logistic map,time series,high,The rich behaviour of the logistic map eq:disc1d:def_logistic_map for various values of the parameter r.
disc1d,disc1d_logist_series_r3_2,disc1d_logist_series.mws,disc1d/disc1d_logist_series.mws,logistic map,time series,high,The rich behaviour of the logistic map eq:disc1d:def_logistic_map for various values of the parameter r.
disc1d,disc1d_logist_series_r3_5,disc1d_logist_series.mws,disc1d/disc1d_logist_series.mws,logistic map,time series,high,The rich behaviour of the logistic map eq:disc1d:def_logistic_map for various values of the parameter r.
disc1d,disc1d_logist_series_r3_9,disc1d_logist_series.mws,disc1d/disc1d_logist_series.mws,logistic map,time series,high,The rich behaviour of the logistic map eq:disc1d:def_logistic_map for various values of the parameter r.
disc1d,disc1d_logist_cobweb_r2_7,disc1d_logist_cobweb.mws,disc1d/disc1d_logist_cobweb.mws,logistic map,cobweb / staircase plot,high,Cobweb graphs of the logistic map for various r.
disc1d,disc1d_logist_cobweb_r3_2,disc1d_logist_cobweb.mws,disc1d/disc1d_logist_cobweb.mws,logistic map,cobweb / staircase plot,high,Cobweb graphs of the logistic map for various r.
disc1d,disc1d_logist_cobweb_r3_9,disc1d_logist_cobweb.mws,disc1d/disc1d_logist_cobweb.mws,logistic map,cobweb / staircase plot,high,Cobweb graphs of the logistic map for various r.
disc1d,disc1d_logist_return_r1_5,disc1d_logist_return.mws,disc1d/disc1d_logist_return.mws,logistic map,return map (x_{n+1} vs x_n),high,Return-plots of the logistic-map data corresponding to the time series plotted in Fig.~fig:disc1d:some_series_logist. Solid gray line represents the mapping eq:disc1d:def_logistic_map
disc1d,disc1d_logist_return_r3_2,disc1d_logist_return.mws,disc1d/disc1d_logist_return.mws,logistic map,return map (x_{n+1} vs x_n),high,Return-plots of the logistic-map data corresponding to the time series plotted in Fig.~fig:disc1d:some_series_logist. Solid gray line represents the mapping eq:disc1d:def_logistic_map
disc1d,disc1d_logist_return_r3_5,disc1d_logist_return.mws,disc1d/disc1d_logist_return.mws,logistic map,return map (x_{n+1} vs x_n),high,Return-plots of the logistic-map data corresponding to the time series plotted in Fig.~fig:disc1d:some_series_logist. Solid gray line represents the mapping eq:disc1d:def_logistic_map
disc1d,disc1d_logist_return_r3_9,disc1d_logist_return.mws,disc1d/disc1d_logist_return.mws,logistic map,return map (x_{n+1} vs x_n),high,Return-plots of the logistic-map data corresponding to the time series plotted in Fig.~fig:disc1d:some_series_logist. Solid gray line represents the mapping eq:disc1d:def_logistic_map
